,City,Country,Lat,Lng,Hotel Name
107,nieuw amsterdam,SR,5.88,-55.08,Tucan Residence
108,khrebtovaya,RU,56.7,104.25,
109,norman wells,CA,65.28,-126.83,Heritage Hotel
110,doha,QA,25.29,51.53,Warwick Doha Hotel
111,airai,TL,-8.93,125.41,
112,chanthaburi,TH,12.83,102.17,Akantuka Homestay
113,along,IN,28.17,94.77,Hotel Mansons Plaza
114,port elizabeth,ZA,-33.92,25.57,Ye Olde Sutherland Inn
115,bekovo,RU,52.47,43.71,
116,hualmay,PE,-11.1,-77.61,Hotel La Casa Del Algodon
117,notodden,NO,59.56,9.26,Notodden Hotel
118,chumikan,RU,54.72,135.31,Fortuna
119,santa vitoria do palmar,BR,-33.52,-53.37,Mirante Hotel
120,fairbanks,US,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
121,lebu,CL,-37.62,-73.65,Hotel Plaza Lebu
122,souillac,MU,-20.52,57.52,Shanti Maurice Resort & Spa
123,santa fe,AR,-31.63,-60.7,InterTower Hotel
124,lethem,GY,3.38,-59.8,Rupununi Eco Hotel
125,arrecife,ES,28.96,-13.55,Arrecife Gran Hotel & Spa
126,saint-philippe,RE,-21.36,55.77,Les Embruns Du Baril
127,ballina,AU,-28.87,153.57,Grandview Apartments
128,bambous virieux,MU,-20.34,57.76,Laguna Beach Hotel & Spa
129,atuona,PF,-9.8,-139.03,Pension Temetiu Village
130,naze,JP,28.37,129.48,Guesthouse Ryoufuu
131,kupang,ID,-10.17,123.58,Aston Kupang Hotel & Convention Center
132,upernavik,GL,72.79,-56.15,Café de Upernavik
133,camana,PE,-16.62,-72.71,Casa Hacienda San Jose
134,dunyapur,PK,29.8,71.72,Al Riaz Hotel
135,lorengau,PG,-2.02,147.27,Lorengau Harbourside Hotel
136,pecos,US,31.42,-103.49,Holiday Inn Express & Suites Pecos
137,mahebourg,MU,-20.41,57.7,Shandrani Beachcomber Resort & Spa
138,benguela,AO,-12.58,13.41,iu Hotel Benguela
139,udachnyy,RU,66.42,112.4,
140,thompson,CA,55.74,-97.86,Best Western Thompson Hotel & Suites
141,isangel,VU,-19.55,169.27,Apera Beach Front Bungalows
142,darhan,MN,49.49,105.92,MBM HOTEL
143,darnah,LY,32.77,22.64,Mountain Hotel
144,pevek,RU,69.7,170.31,
145,itarema,BR,-2.92,-39.92,White Wind Resort
146,bereda,ES,43.27,-7.54,Casa Grande de Anllo
147,agirish,RU,61.92,63.02,
148,traverse city,US,44.76,-85.62,Hotel Indigo Traverse City
149,paamiut,GL,61.99,-49.67,Yeet Hotel
150,provideniya,RU,64.38,-173.3,
151,flinders,AU,-34.58,150.86,Barrack Point Holidays
152,ribas do rio pardo,BR,-20.44,-53.76,Hotel Thalis
153,poum,NC,-20.23,164.02,
154,grindavik,IS,63.84,-22.43,Mar Guesthouse
155,myitkyina,MM,25.38,97.4,Palm Spring Resort Hotel
156,broken hill,AU,-31.95,141.43,Royal Exchange Hotel
157,muravlenko,RU,63.79,74.52,E-Hotel Muravlenko
158,pisco,PE,-13.7,-76.22,PiscoMar Peru
159,opuwo,,-18.06,13.84,Opuwo Country Lodge
160,vanavara,RU,60.34,102.28,
161,san quintin,MX,30.48,-115.95,Old Mill Hotel
162,nabire,ID,-3.37,135.48,Kamusioh Guesthouse
163,coquimbo,CL,-29.95,-71.34,Luna de Canela
164,husavik,IS,66.04,-17.34,Fosshotel Húsavík
165,nome,US,64.5,-165.41,Nome Nugget Inn
166,svetlyy,RU,54.67,20.13,"Hostel ""Baltiysky Les"""
167,bredasdorp,ZA,-34.53,20.04,Bredasdorp Country Manor
